referrals,total_deposits,total_payouts,total_structure,airdrops_total,airdrops_received,team_address,ranking,team_name,team_benefits
5369.0,549788.21,100000.0,108998.0,157569.65,0.0,0xe8e9720e39e13854657c165cf4eb10b2dfe33570,157569.65,Team Name,Contact our team to add info
2455.0,16613.89,16069.08,4327.0,7128.0,30.8,0x436e46cf4466c02fe8eada605f2dda959ae89536,7127.99,Team Name,Contact our team to add info
1897.0,6088.73,6655.6,2929.0,2156.81,20.23,0x4dde991518f617bcb5d2399bc5d7ceb82eafc65d,2156.8,Team Name,Contact our team to add info
1736.0,9153.43,7617.09,4050.0,2458.33,27.62,0x6f2971734927d9731ed19c964e11c7730a30c9cf,2458.31,Team Name,Contact our team to add info
1394.0,17823.99,12867.39,3295.0,2694.32,147.95,0x49083521f5cf9ffed01a76e4c9bfe13277f6f304,2694.21,Team Name,Contact our team to add info
1297.0,21853.62,35113.69,7299.0,15120.43,176.22,0x78815067c3926cc33f7790d87460bec779f42d4d,15120.29,Team Name,Contact our team to add info
1003.0,2717.42,5033.68,2933.0,920.76,7.54,0x5aca27aee06a4ac9c839415271bbc4558f8b7679,920.75,Team Name,Contact our team to add info
967.0,3902.19,3659.21,1572.0,1072.28,19.14,0x6c962db2c737665e78cb709afed1a9448ef50ccc,1072.26,Team Name,Contact our team to add info
898.0,27485.2,53479.54,2076.0,11134.73,9453.96,0x7fe7fedf776a886296a02b44c2e7a67b08e445a3,11124.2,Team Name,Contact our team to add info
862.0,3544.35,2508.38,1246.0,1143.76,29.2,0x8ab1ef55810ca9fc1ab329f95775e5bff656935b,1143.73,Team Name,Contact our team to add info
702.0,27179.01,50283.42,3540.0,20424.83,605.86,0x0cb62ac9537563c509cd52af4f14e23205d7cd2c,20423.97,Team Name,Contact our team to add info
636.0,9511.97,10108.4,2765.0,2680.05,16.66,0xeb5f479ac8121f606f2ff6979f4b623aa1c47f18,2680.02,Team Name,Contact our team to add info
566.0,39774.36,100000.0,14026.0,21192.97,5.0,0x843f2c19bc6df9e32b482e2f9ad6c078001088b1,21192.96,Team Name,Contact our team to add info
507.0,1184.89,808.98,635.0,264.47,6.92,0xb34fad0bb9220380d65faea0ff35968262e68e68,264.46,Team Name,Contact our team to add info
465.0,2264.01,2167.97,539.0,1344.12,221.33,0x8b3d943b0208b98d7c2502efd0b98d06b8ba82bd,1343.64,Team Name,Contact our team to add info
451.0,19114.55,15741.06,518.0,2111.0,440.52,0xfcf4590549ca260d94fe9f5604efa43d50aca6b9,2110.02,Team Name,Contact our team to add info
408.0,2753.55,2035.0,600.0,667.02,273.01,0x594797c188759ad71f973cbc57e56f2349750808,666.35,Team Name,Contact our team to add info
396.0,337.04,525.32,583.0,120.33,1.43,0x6adcb3ca4e1932a74691bc563b427dc3fddc3fac,120.33,Team Name,Contact our team to add info
390.0,1923.74,2692.36,664.0,318.16,32.16,0x7cd67725d9d216bdf01aa4f3009d3486ef776c00,318.08,Team Name,Contact our team to add info
353.0,36087.92,100000.0,13744.0,4891.66,52.15,0x63f06788670d8fe1e8994f88029b611b7a63821a,4891.51,Team Name,Contact our team to add info
